Date,Daily_Spending,Savings_Investment_Value,Total_Portfolio_Value,Portfolio_Return_YTD,Investment_Goal,Risk_Tolerance
2015-11-15,47.31,0.0,687.88,0.0091,Wealth Accumulation,Medium
2015-11-16,47.52,0.0,686.64,-0.0018,Wealth Accumulation,Medium
2015-11-17,55.05,0.0,691.17,0.0066,Wealth Accumulation,Medium
2015-11-18,58.48,9.9,697.82,-0.0047,Wealth Accumulation,Medium
2015-11-19,58.28,8.54,709.92,0.0051,Wealth Accumulation,Medium
2015-11-20,56.14,0.0,711.34,0.002,Wealth Accumulation,Medium
2015-11-21,53.39,6.89,718.37,0.0002,Wealth Accumulation,Medium
2015-11-22,42.23,0.0,724.05,0.0079,Wealth Accumulation,Medium
2015-11-23,43.78,0.0,729.69,0.0078,Wealth Accumulation,Medium
2015-11-24,58.52,0.0,726.26,-0.0047,Wealth Accumulation,Medium
2015-11-25,52.69,9.79,739.03,0.0041,Wealth Accumulation,Medium
2015-11-26,40.74,8.87,748.27,0.0005,Wealth Accumulation,Medium
2015-11-27,42.59,0.0,749.17,0.0012,Wealth Accumulation,Medium
2015-11-28,53.83,0.0,754.79,0.0075,Wealth Accumulation,Medium
2015-11-29,40.67,0.0,754.49,-0.0004,Wealth Accumulation,Medium
2015-11-30,43.79,0.0,761.35,0.0091,Wealth Accumulation,Medium
2015-12-01,51.55,0.0,759.6,-0.0023,Wealth Accumulation,Medium
2015-12-02,54.41,0.0,763.32,0.0049,Wealth Accumulation,Medium
2015-12-03,53.62,0.0,767.22,0.0051,Wealth Accumulation,Medium
2015-12-04,45.07,0.0,766.3,-0.0012,Wealth Accumulation,Medium
2015-12-05,54.83,7.52,773.74,-0.0001,Wealth Accumulation,Medium
2015-12-06,45.33,7.02,786.56,0.0075,Wealth Accumulation,Medium
2015-12-07,47.1,0.0,791.6,0.0064,Wealth Accumulation,Medium
2015-12-08,55.52,0.0,791.52,-0.0001,Wealth Accumulation,Medium
2015-12-09,53.59,8.92,802.81,0.003,Wealth Accumulation,Medium
2015-12-10,57.58,8.86,808.38,-0.0041,Wealth Accumulation,Medium
2015-12-11,53.75,0.0,806.84,-0.0019,Wealth Accumulation,Medium
2015-12-12,51.97,7.98,816.68,0.0023,Wealth Accumulation,Medium
2015-12-13,42.48,0.0,813.66,-0.0037,Wealth Accumulation,Medium
2015-12-14,47.96,0.0,819.84,0.0076,Wealth Accumulation,Medium
2015-12-15,45.92,0.0,824.6,0.0058,Wealth Accumulation,Medium
2015-12-16,45.49,0.0,832.18,0.0092,Wealth Accumulation,Medium
2015-12-17,60.08,0.0,836.68,0.0054,Wealth Accumulation,Medium
2015-12-18,48.48,0.0,844.29,0.0091,Wealth Accumulation,Medium
2015-12-19,58.46,0.0,847.08,0.0033,Wealth Accumulation,Medium
2015-12-20,53.25,0.0,850.47,0.004,Wealth Accumulation,Medium
2015-12-21,56.52,0.0,858.71,0.0097,Wealth Accumulation,Medium
2015-12-22,50.68,8.34,871.0,0.0046,Wealth Accumulation,Medium
2015-12-23,52.17,9.1,876.19,-0.0045,Wealth Accumulation,Medium
2015-12-24,50.49,9.86,891.21,0.0059,Wealth Accumulation,Medium
2015-12-25,44.54,7.4,906.28,0.0086,Wealth Accumulation,Medium
2015-12-26,55.09,0.0,912.53,0.0069,Wealth Accumulation,Medium
2015-12-27,46.26,0.0,916.0,0.0038,Wealth Accumulation,Medium
2015-12-28,41.13,0.0,920.67,0.0051,Wealth Accumulation,Medium
2015-12-29,53.56,0.0,929.79,0.0099,Wealth Accumulation,Medium
2015-12-30,44.19,0.0,926.44,-0.0036,Wealth Accumulation,Medium
2015-12-31,59.46,0.0,931.07,0.005,Wealth Accumulation,Medium
2016-01-01,59.74,0.0,930.42,-0.0007,Wealth Accumulation,Medium
2016-01-02,58.96,8.44,943.14,0.0046,Wealth Accumulation,Medium
2016-01-03,48.07,8.92,955.93,0.0041,Wealth Accumulation,Medium
2016-01-04,40.98,0.0,953.35,-0.0027,Wealth Accumulation,Medium
2016-01-05,59.24,0.0,951.53,-0.0019,Wealth Accumulation,Medium
2016-01-06,49.24,9.41,965.04,0.0043,Wealth Accumulation,Medium
2016-01-07,60.01,7.15,969.19,-0.0031,Wealth Accumulation,Medium
2016-01-08,59.95,0.0,968.22,-0.001,Wealth Accumulation,Medium
2016-01-09,57.74,8.47,983.96,0.0075,Wealth Accumulation,Medium
2016-01-10,46.57,0.0,983.86,-0.0001,Wealth Accumulation,Medium
2016-01-11,48.39,0.0,986.12,0.0023,Wealth Accumulation,Medium
2016-01-12,57.71,0.0,995.09,0.0091,Wealth Accumulation,Medium
2016-01-13,47.03,0.0,993.5,-0.0016,Wealth Accumulation,Medium
2016-01-14,44.08,0.0,994.3,0.0008,Wealth Accumulation,Medium
2016-01-15,51.83,0.0,998.37,0.0041,Wealth Accumulation,Medium
2016-01-16,59.42,0.0,1004.66,0.0063,Wealth Accumulation,Medium
2016-01-17,54.62,0.0,1013.2,0.0085,Wealth Accumulation,Medium
2016-01-18,52.11,7.69,1029.71,0.0087,Wealth Accumulation,Medium
2016-01-19,42.65,0.0,1036.5,0.0066,Wealth Accumulation,Medium
2016-01-20,53.01,0.0,1034.85,-0.0016,Wealth Accumulation,Medium
2016-01-21,60.51,0.0,1030.09,-0.0046,Wealth Accumulation,Medium
2016-01-22,43.52,0.0,1030.91,0.0008,Wealth Accumulation,Medium
2016-01-23,51.09,0.0,1027.92,-0.0029,Wealth Accumulation,Medium
2016-01-24,58.27,9.93,1043.71,0.0057,Wealth Accumulation,Medium
2016-01-25,55.54,0.0,1048.82,0.0049,Wealth Accumulation,Medium
2016-01-26,54.67,0.0,1044.31,-0.0043,Wealth Accumulation,Medium
2016-01-27,54.78,0.0,1052.15,0.0075,Wealth Accumulation,Medium
2016-01-28,47.92,0.0,1050.78,-0.0013,Wealth Accumulation,Medium
2016-01-29,46.61,8.9,1061.25,0.0015,Wealth Accumulation,Medium
2016-01-30,56.93,0.0,1066.56,0.005,Wealth Accumulation,Medium
2016-01-31,56.94,9.82,1077.87,0.0014,Wealth Accumulation,Medium
2016-02-01,58.08,0.0,1079.6,0.0016,Wealth Accumulation,Medium
2016-02-02,59.01,0.0,1075.28,-0.004,Wealth Accumulation,Medium
2016-02-03,50.98,7.55,1083.91,0.001,Wealth Accumulation,Medium
2016-02-04,50.78,0.0,1090.95,0.0065,Wealth Accumulation,Medium
2016-02-05,56.72,6.75,1107.19,0.0087,Wealth Accumulation,Medium
2016-02-06,53.76,8.68,1117.2,0.0012,Wealth Accumulation,Medium
2016-02-07,54.8,0.0,1118.76,0.0014,Wealth Accumulation,Medium
2016-02-08,56.68,0.0,1124.92,0.0055,Wealth Accumulation,Medium
2016-02-09,58.57,0.0,1135.15,0.0091,Wealth Accumulation,Medium
2016-02-10,47.53,0.0,1134.02,-0.001,Wealth Accumulation,Medium
2016-02-11,48.28,0.0,1135.83,0.0016,Wealth Accumulation,Medium
2016-02-12,42.65,0.0,1143.67,0.0069,Wealth Accumulation,Medium
2016-02-13,52.34,7.41,1155.77,0.0041,Wealth Accumulation,Medium
2016-02-14,41.5,7.69,1159.65,-0.0033,Wealth Accumulation,Medium
2016-02-15,50.09,0.0,1164.75,0.0044,Wealth Accumulation,Medium
2016-02-16,51.64,0.0,1162.19,-0.0022,Wealth Accumulation,Medium
2016-02-17,46.52,0.0,1165.32,0.0027,Wealth Accumulation,Medium
2016-02-18,52.61,0.0,1168.7,0.0029,Wealth Accumulation,Medium
2016-02-19,41.4,0.0,1178.17,0.0081,Wealth Accumulation,Medium
2016-02-20,41.54,9.19,1189.6,0.0019,Wealth Accumulation,Medium
2016-02-21,57.25,9.66,1198.31,-0.0008,Wealth Accumulation,Medium
2016-02-22,48.0,0.0,1196.51,-0.0015,Wealth Accumulation,Medium
2016-02-23,43.35,0.0,1206.2,0.0081,Wealth Accumulation,Medium
2016-02-24,51.25,0.0,1203.31,-0.0024,Wealth Accumulation,Medium
2016-02-25,56.21,6.72,1211.71,0.0014,Wealth Accumulation,Medium
2016-02-26,45.13,0.0,1209.04,-0.0022,Wealth Accumulation,Medium
2016-02-27,53.27,8.67,1225.69,0.0066,Wealth Accumulation,Medium
2016-02-28,42.52,7.21,1235.48,0.0021,Wealth Accumulation,Medium
2016-02-29,41.85,0.0,1235.85,0.0003,Wealth Accumulation,Medium
2016-03-01,51.45,6.75,1243.09,0.0004,Wealth Accumulation,Medium
2016-03-02,51.64,0.0,1252.79,0.0078,Wealth Accumulation,Medium
2016-03-03,53.58,9.92,1266.84,0.0033,Wealth Accumulation,Medium
2016-03-04,55.35,0.0,1274.19,0.0058,Wealth Accumulation,Medium
2016-03-05,60.35,0.0,1285.02,0.0085,Wealth Accumulation,Medium
2016-03-06,51.16,0.0,1295.94,0.0085,Wealth Accumulation,Medium
2016-03-07,47.3,0.0,1295.82,-0.0001,Wealth Accumulation,Medium
2016-03-08,56.75,8.07,1315.94,0.0093,Wealth Accumulation,Medium
2016-03-09,46.26,0.0,1309.88,-0.0046,Wealth Accumulation,Medium
2016-03-10,49.63,0.0,1310.8,0.0007,Wealth Accumulation,Medium
2016-03-11,42.42,8.58,1330.39,0.0084,Wealth Accumulation,Medium
2016-03-12,41.36,0.0,1329.19,-0.0009,Wealth Accumulation,Medium
2016-03-13,60.11,6.76,1334.76,-0.0009,Wealth Accumulation,Medium
2016-03-14,57.58,0.0,1334.09,-0.0005,Wealth Accumulation,Medium
2016-03-15,54.78,0.0,1339.69,0.0042,Wealth Accumulation,Medium
2016-03-16,49.04,9.29,1351.13,0.0016,Wealth Accumulation,Medium
2016-03-17,44.33,0.0,1359.1,0.0059,Wealth Accumulation,Medium
2016-03-18,44.0,0.0,1370.51,0.0084,Wealth Accumulation,Medium
2016-03-19,45.88,0.0,1377.5,0.0051,Wealth Accumulation,Medium
2016-03-20,51.86,0.0,1374.89,-0.0019,Wealth Accumulation,Medium
2016-03-21,55.17,0.0,1387.26,0.009,Wealth Accumulation,Medium
2016-03-22,54.09,0.0,1385.87,-0.001,Wealth Accumulation,Medium
2016-03-23,46.48,0.0,1381.99,-0.0028,Wealth Accumulation,Medium
2016-03-24,59.98,9.03,1385.91,-0.0037,Wealth Accumulation,Medium
2016-03-25,55.65,0.0,1390.76,0.0035,Wealth Accumulation,Medium
2016-03-26,51.98,0.0,1386.17,-0.0033,Wealth Accumulation,Medium
2016-03-27,53.13,0.0,1382.15,-0.0029,Wealth Accumulation,Medium
2016-03-28,49.29,0.0,1381.46,-0.0005,Wealth Accumulation,Medium
2016-03-29,45.86,0.0,1380.35,-0.0008,Wealth Accumulation,Medium
2016-03-30,48.02,0.0,1386.01,0.0041,Wealth Accumulation,Medium
2016-03-31,56.06,0.0,1396.13,0.0073,Wealth Accumulation,Medium
2016-04-01,41.2,0.0,1405.07,0.0064,Wealth Accumulation,Medium
2016-04-02,43.23,0.0,1403.52,-0.0011,Wealth Accumulation,Medium
2016-04-03,41.83,0.0,1401.7,-0.0013,Wealth Accumulation,Medium
2016-04-04,41.73,0.0,1415.01,0.0095,Wealth Accumulation,Medium
2016-04-05,58.03,0.0,1408.08,-0.0049,Wealth Accumulation,Medium
2016-04-06,55.0,6.98,1426.61,0.0082,Wealth Accumulation,Medium
2016-04-07,50.41,0.0,1423.75,-0.002,Wealth Accumulation,Medium
2016-04-08,42.88,0.0,1436.85,0.0092,Wealth Accumulation,Medium
2016-04-09,50.76,9.57,1446.56,0.0001,Wealth Accumulation,Medium
2016-04-10,50.4,6.95,1455.83,0.0016,Wealth Accumulation,Medium
2016-04-11,44.4,0.0,1463.98,0.0056,Wealth Accumulation,Medium
2016-04-12,49.62,0.0,1469.55,0.0038,Wealth Accumulation,Medium
2016-04-13,48.91,0.0,1469.25,-0.0002,Wealth Accumulation,Medium
2016-04-14,53.26,8.31,1482.41,0.0033,Wealth Accumulation,Medium
2016-04-15,53.65,8.14,1499.44,0.006,Wealth Accumulation,Medium
2016-04-16,41.86,0.0,1492.85,-0.0044,Wealth Accumulation,Medium
2016-04-17,48.45,0.0,1485.68,-0.0048,Wealth Accumulation,Medium
2016-04-18,53.47,8.43,1496.93,0.0019,Wealth Accumulation,Medium
2016-04-19,51.02,0.0,1492.44,-0.003,Wealth Accumulation,Medium
2016-04-20,58.09,0.0,1499.91,0.005,Wealth Accumulation,Medium
2016-04-21,54.14,9.35,1506.56,-0.0018,Wealth Accumulation,Medium
2016-04-22,44.23,9.2,1518.02,0.0015,Wealth Accumulation,Medium
2016-04-23,42.38,7.18,1522.16,-0.002,Wealth Accumulation,Medium
2016-04-24,53.82,0.0,1527.03,0.0032,Wealth Accumulation,Medium
2016-04-25,41.51,0.0,1521.99,-0.0033,Wealth Accumulation,Medium
2016-04-26,52.69,0.0,1514.84,-0.0047,Wealth Accumulation,Medium
2016-04-27,59.79,0.0,1508.48,-0.0042,Wealth Accumulation,Medium
2016-04-28,52.49,0.0,1522.5,0.0093,Wealth Accumulation,Medium
